Actual_Train,Predicted_Train
42649.5,42263.11268648505
40621.0,41055.177897930145
37217.5,38942.36575046182
34529.0,35353.85818696022
30741.0,31434.36925637722
27452.5,28099.43782660365
26732.5,27182.61796285212
26162.0,26192.13837555051
24883.0,25065.495131388307
23893.5,24553.255311578512
23175.5,24662.05626669526
24164.5,25993.91583544016
27944.0,29128.1818728894
32350.0,32059.542498350143
35855.5,33734.14575281739
37105.0,35144.629519462585
36913.0,36067.1178637445
36949.0,36382.9734365046
37914.5,35692.02730944753
37501.0,35777.768369823694
36971.5,36819.45332971215
38052.5,37368.27291679382
40272.0,38557.92126789689
42618.5,39870.53931388259
41591.0,39721.19744902849
38816.0,38926.406964212656
35621.5,37000.51781150699
32233.5,33888.48753848672
28773.5,29893.375544041395
25828.0,26660.702242717147
25243.0,25627.806036904454
24622.5,24507.254661604762
23586.5,23049.27164721489
22789.0,22637.960713416338
22505.0,22771.257145106792
23665.5,23935.367302790284
27812.0,26818.825969278812
31990.5,29860.958767160773
34879.0,32100.53436589241
36205.5,33749.15536150336
36112.5,34154.779106915
35904.0,33972.81270951033
35977.5,33602.6039211452
35502.5,33198.53785094619
35155.0,33213.34462708235
35750.5,34254.32853466272
37535.5,36600.48869982362
40505.5,38679.15605524182
40066.0,38537.031484514475
37982.5,37329.10851144791
35418.0,36009.83046853542
32502.5,32741.111066162586
29598.5,29270.592969208956
26534.0,26508.180042251945
26041.0,25411.3157671988
25172.0,24503.356535077095
23782.5,23188.06917335093
22516.5,22575.151546657085
21559.5,22578.186157912016
21811.0,23514.39819189906
23584.0,25939.383418262005
25523.0,28836.769591629505
28178.5,30741.847730875015
30932.5,32163.150546342134
32666.5,32698.6698320508
33502.0,33310.9051142931
34417.5,33852.641316115856
34227.0,34143.15266638994
33829.0,34533.0440890789
33997.5,35243.804790079594
35936.0,36467.38722369075
39547.5,38242.38865181804
38862.5,37992.08343911171
36572.0,37224.167282521725
34157.5,36151.74236047268
31859.0,33037.22295790911
29766.5,29414.149183273315
27442.0,26325.269390404224
27193.5,25599.196801140904
26891.0,24873.0828576684
25977.0,23607.85476616025
25203.5,22965.641620755196
24588.5,23033.429046601057
24504.5,24036.18984940648
25705.5,25680.895979881287
27052.0,27680.7333509773
28883.0,29932.088991582394
31583.0,32013.529048264027
33513.5,32606.65277811885
35385.0,32738.558920681477
37059.0,34617.55633866787
37457.5,35530.613954007626
37461.5,36327.801013708115
38129.5,36680.818266540766
40580.5,38119.842345267534
43656.5,40271.59834229946
42185.0,39929.65614053607
38997.0,38866.31535977125
36408.0,37065.15050196648
33644.0,33785.66718971729
30579.5,30269.117919445038
27719.0,27615.86041225493
27285.0,27234.664204359055
27094.0,26605.889207690954
26301.0,25618.870573848486
26083.5,25325.18085721135
25896.0,25758.794509872794
27224.5,26892.545754894614
31240.0,28163.821407184005
35772.5,29874.583994463086
39435.0,32054.623316705227
41080.5,34900.69482421875
41057.0,37476.32358840108
40938.5,39405.46593889594
41290.5,39452.716076761484
40977.0,39449.64011129737
40583.5,39394.12700858712
41120.5,40441.083645522594
42459.5,42020.45012548566
44472.0,43313.62775465846
44138.49999999999,41752.22672471404
41640.5,39308.37216347456
39187.5,37161.740149885416
35650.5,33962.86209908128
31807.0,30526.892490029335
28322.5,27991.695342317224
27602.0,27065.419149398804
27143.0,26274.08469492197
26015.0,25109.773673936725
25086.5,24980.814511090517
24267.5,25199.35181415081
24990.5,26431.16964313388
28933.0,30232.05667102337
33257.5,33618.59224611521
36667.5,35745.42347049713
38328.49999999999,37237.84567952156
38215.0,37862.22137603164
